Episode: 56 | Reward: 26.0 | Q Loss: 0.6951825618743896 | Steps: 950
Episode: 57 | Reward: 26.0 | Q Loss: 0.6949284672737122 | Steps: 976
Episode: 58 | Reward: 11.0 | Q Loss: 0.6941890716552734 | Steps: 987
Episode: 59 | Reward: 16.0 | Q Loss: 0.6953272223472595 | Steps: 1003
Episode: 60 | Reward: 16.0 | Q Loss: 0.6994797587394714 | Steps: 1019
Episode: 61 | Reward: 11.0 | Q Loss: 0.6966834664344788 | Steps: 1030
Episode: 62 | Reward: 16.0 | Q Loss: 0.6964206099510193 | Steps: 1046
Episode: 63 | Reward: 9.0 | Q Loss: 0.6985703706741333 | Steps: 1055
Episode: 64 | Reward: 20.0 | Q Loss: 0.6995385885238647 | Steps: 1075
Episode: 65 | Reward: 18.0 | Q Loss: 0.6940749883651733 | Steps: 1093
Episode: 66 | Reward: 9.0 | Q Loss: 0.6960007548332214 | Steps: 1102
Episode: 67 | Reward: 21.0 | Q Loss: 0.6951392292976379 | Steps: 1123
Episode: 68 | Reward: 11.0 | Q Loss: 0.6991752982139587 | Steps: 1134
Episode: 69 | Reward: 14.0 | Q Loss: 0.6964314579963684 | Steps: 1148
Episode: 70 | Reward: 12.0 | Q Loss: 0.6981495022773743 | Steps: 1160
Episode: 71 | Reward: 35.0 | Q Loss: 0.6960098147392273 | Steps: 1195
Episode: 72 | Reward: 25.0 | Q Loss: 0.6951420903205872 | Steps: 1220
Episode: 73 | Reward: 10.0 | Q Loss: 0.6983542442321777 | Steps: 1230
Episode: 74 | Reward: 10.0 | Q Loss: 0.6949536800384521 | Steps: 1240
Episode: 75 | Reward: 16.0 | Q Loss: 0.7023581266403198 | Steps: 1256
Episode: 76 | Reward: 9.0 | Q Loss: 0.6972618103027344 | Steps: 1265
Episode: 77 | Reward: 23.0 | Q Loss: 0.6970707178115845 | Steps: 1288
Episode: 78 | Reward: 18.0 | Q Loss: 0.6939409375190735 | Steps: 1306
Episode: 79 | Reward: 9.0 | Q Loss: 0.6991773843765259 | Steps: 1315
Episode: 80 | Reward: 28.0 | Q Loss: 0.6943004131317139 | Steps: 1343
Episode: 81 | Reward: 15.0 | Q Loss: 0.6968106627464294 | Steps: 1358
Episode: 82 | Reward: 9.0 | Q Loss: 0.6950005292892456 | Steps: 1367
Episode: 83 | Reward: 9.0 | Q Loss: 0.7018965482711792 | Steps: 1376
Episode: 84 | Reward: 21.0 | Q Loss: 0.6997839212417603 | Steps: 1397
Episode: 85 | Reward: 27.0 | Q Loss: 0.6946340203285217 | Steps: 1424
Episode: 86 | Reward: 10.0 | Q Loss: 0.6964869499206543 | Steps: 1434
Episode: 87 | Reward: 18.0 | Q Loss: 0.6983906626701355 | Steps: 1452
Episode: 88 | Reward: 14.0 | Q Loss: 0.6995695233345032 | Steps: 1466
Episode: 89 | Reward: 13.0 | Q Loss: 0.7025018334388733 | Steps: 1479
Episode: 90 | Reward: 41.0 | Q Loss: 0.6961321830749512 | Steps: 1520
Episode: 91 | Reward: 12.0 | Q Loss: 0.6945407390594482 | Steps: 1532
Episode: 92 | Reward: 10.0 | Q Loss: 0.7009350061416626 | Steps: 1542
Episode: 93 | Reward: 47.0 | Q Loss: 0.7040013670921326 | Steps: 1589
Episode: 94 | Reward: 27.0 | Q Loss: 0.7008402943611145 | Steps: 1616
Episode: 95 | Reward: 22.0 | Q Loss: 0.7041673064231873 | Steps: 1638
Episode: 96 | Reward: 11.0 | Q Loss: 0.703181266784668 | Steps: 1649
Episode: 97 | Reward: 9.0 | Q Loss: 0.6970656514167786 | Steps: 1658
Episode: 98 | Reward: 38.0 | Q Loss: 0.7018535733222961 | Steps: 1696
Episode: 99 | Reward: 19.0 | Q Loss: 0.6991629004478455 | Steps: 1715
Episode: 100 | Reward: 21.0 | Q Loss: 0.7037338614463806 | Steps: 1736
